,Kolapur,Ahmedabad,Vellore,Agra,Cuttack,Guwahati,Kolkata,Aligarh,Madurai,Raipur,Thiruvananthapuram,Jhansi,Patiala,Visakhapatnam,Kota,Jaipur,Jammu,Goa,Chennai,Varanasi,Vadodara,Jamshedpur,Aurangabad,Jabalpur,Leh,Gandhinagar,Jaisalmer,Chandigarh,Hyderabad,Nashik,Ranchi,Pune,Jodhpur,Indore,Jalgaon,Nanded,Gangtok,Bhopal,Patna,Srinagar,Delhi,Gwalior,Solapur,Bangalore,Bikaner,Ghaziabad,Rajkot,Lucknow,Dwarka,Mumbai
Indore,453.161,339.102,1147.528,538.76,1065.962,1654.447,1284.125,615.2,1441.453,617.597,1575.094,420.718,831.051,953.298,274.62,464.8,1112.414,842.468,1164.779,781.759,279.077,1061.224,319.542,421.454,1279.335,334.743,701.415,890.76,649.518,369.336,971.704,510.035,489.208,100000.0,210.811,419.753,1382.892,168.172,993.17,1262.539,667.339,450.228,542.73,1093.481,640.302,682.26,523.157,685.819,711.313,524.304
Jalgaon,525.044,388.322,964.518,745.374,1079.493,1757.923,1341.647,822.797,1243.176,636.313,1371.53,609.819,1040.749,887.092,484.557,673.26,1317.449,632.163,997.225,913.496,290.214,1124.694,108.738,523.892,1489.963,397.012,838.091,1101.117,491.506,203.224,1048.82,311.109,655.248,210.811,100000.0,261.427,1510.755,330.157,1114.592,1467.845,878.109,651.58,332.417,897.679,825.365,892.798,515.202,862.532,696.17,351.904
Nanded,786.061,648.95,729.06,889.318,910.946,1674.891,1211.673,967.89,1034.996,508.12,1178.778,717.914,1226.289,654.757,680.215,870.695,1520.271,547.569,746.236,901.324,549.279,1009.661,219.261,520.742,1661.359,658.275,1095.845,1280.194,232.969,378.863,954.205,369.307,901.774,419.753,261.427,100000.0,1467.609,452.539,1075.808,1669.236,1047.272,783.693,258.278,686.12,1059.869,1056.609,759.442,927.274,930.641,469.733
Gangtok,1746.588,1683.621,1895.301,1049.811,809.12,337.398,527.472,1035.554,2243.053,977.911,2417.503,1012.935,1239.49,1195.411,1281.14,1268.551,1453.458,2007.885,1800.141,601.459,1653.886,557.294,1584.588,986.938,1298.315,1669.471,1766.096,1213.012,1516.689,1713.48,549.331,1798.398,1551.864,1382.892,1510.755,1467.609,100000.0,1215.021,396.618,1516.132,1134.248,1046.964,1724.73,1959.906,1509.913,1108.475,1882.418,763.3,2061.403,1861.378
Bhopal,593.931,494.554,1170.414,438.185,928.847,1486.837,1126.83,516.948,1486.453,490.201,1631.305,281.875,777.328,868.231,257.571,435.447,1077.703,947.257,1166.977,613.734,444.986,903.377,431.042,261.02,1208.843,486.39,787.433,829.113,659.163,518.673,810.389,641.242,555.163,168.172,330.157,452.539,1215.021,100000.0,825.003,1224.913,595.255,335.069,638.462,1137.939,667.737,604.116,685.751,533.137,872.682,673.581
Patna,1377.91,1304.495,1557.075,730.597,574.549,667.344,470.781,738.853,1908.382,601.239,2080.359,650.178,1003.233,893.305,918.858,940.31,1270.884,1619.736,1476.774,214.922,1267.857,329.757,1188.002,590.7,1194.757,1291.911,1440.095,996.774,1141.858,1317.509,248.875,1402.031,1212.692,993.17,1114.592,1075.808,396.618,825.003,100000.0,1366.642,856.15,701.0,1331.682,1605.621,1203.123,834.845,1501.952,440.139,1684.528,1464.894
Srinagar,1170.115,1244.377,2394.65,823.615,1860.441,1847.983,1837.384,756.537,2702.111,1572.253,2837.632,1016.705,451.977,1998.868,990.686,799.377,150.457,2081.027,2390.16,1250.376,1314.897,1672.072,1574.008,1308.919,255.213,1221.171,871.952,414.591,1883.94,1561.66,1566.637,1725.926,879.161,1262.539,1467.845,1669.236,1516.132,1224.913,1366.642,100000.0,644.022,929.719,1798.156,2353.319,686.873,644.859,1362.325,993.692,1430.25,1688.578
Delhi,762.516,772.896,1763.191,180.843,1261.993,1466.407,1308.141,126.073,2081.701,934.162,2225.492,373.202,193.009,1360.283,397.499,231.729,504.807,1509.545,1751.332,684.429,807.138,1111.996,986.846,666.457,615.157,750.625,654.201,235.216,1251.602,1014.021,1002.289,1169.18,483.554,667.339,878.109,1047.272,1134.248,595.255,856.15,644.022,100000.0,285.703,1209.19,1733.117,384.017,28.242,948.671,420.656,1085.412,1160.211
Gwalior,706.893,665.641,1487.015,108.641,1012.955,1358.415,1110.284,185.415,1812.307,654.223,1961.044,89.547,478.38,1078.584,243.492,245.867,789.731,1279.176,1469.742,495.919,664.129,898.029,757.748,382.75,884.186,647.651,740.401,518.698,976.574,818.621,789.677,958.993,511.804,450.228,651.58,783.693,1046.964,335.069,701.0,929.719,285.703,100000.0,971.56,1465.201,520.201,286.653,862.427,285.589,1030.163,972.718
Solapur,769.65,637.919,687.538,1070.167,1152.092,1932.631,1463.425,1148.453,928.949,765.217,1047.283,919.335,1373.164,850.951,816.937,1005.532,1647.7,309.431,753.074,1151.749,538.336,1265.279,224.506,763.617,1822.05,654.892,1116.543,1433.428,341.823,285.896,1212.069,167.784,963.446,542.73,332.417,258.278,1724.73,638.462,1331.682,1798.156,1209.19,971.56,100000.0,593.455,1143.561,1223.084,679.737,1152.957,819.319,284.694
Bangalore,1362.334,1231.355,154.314,1572.254,1211.035,2080.666,1558.192,1650.385,348.981,1009.998,497.965,1393.928,1912.238,806.947,1362.72,1553.965,2203.788,457.396,292.277,1481.168,1131.687,1418.411,800.326,1154.187,2346.475,1248.317,1709.881,1966.3,496.799,877.521,1410.583,732.354,1549.363,1093.481,897.679,686.12,1959.906,1137.939,1605.621,2353.319,1733.117,1465.201,593.455,100000.0,1723.002,1741.931,1258.098,1573.454,1373.349,832.985
Bikaner,486.823,558.213,1785.731,472.531,1523.69,1837.846,1629.271,474.572,2067.619,1127.476,2190.834,597.713,381.61,1531.122,411.074,275.796,541.942,1410.203,1804.975,1008.883,633.605,1418.205,924.564,856.01,793.806,535.158,273.64,449.209,1289.616,887.898,1309.703,1052.943,192.532,640.302,825.365,1059.869,1509.913,667.737,1203.123,686.873,384.017,520.201,1143.561,1723.002,100000.0,411.857,681.442,764.278,774.526,1006.517
Ghaziabad,788.614,796.692,1769.621,179.075,1249.453,1441.186,1289.255,114.742,2090.24,929.411,2235.283,372.179,197.601,1355.926,414.94,255.295,508.627,1524.727,1755.493,666.671,828.926,1095.109,1001.488,664.082,604.757,774.568,682.337,232.116,1258.229,1032.316,985.523,1186.311,511.209,682.26,892.798,1056.609,1108.475,604.116,834.845,644.859,28.242,286.653,1223.084,1741.931,411.857,100000.0,973.948,401.741,1112.075,1179.499
Rajkot,195.305,199.104,1364.952,906.589,1575.895,2168.035,1806.959,963.072,1570.961,1126.162,1660.237,875.218,1035.338,1402.001,619.082,720.262,1221.185,848.957,1432.154,1287.482,246.417,1584.247,542.553,944.206,1472.186,215.157,523.144,1105.039,969.051,400.944,1494.648,526.18,496.776,523.157,515.202,759.442,1882.418,685.751,1501.952,1362.325,948.671,862.427,679.737,1258.098,681.442,973.948,100000.0,1141.956,188.565,428.684
Lucknow,991.731,943.527,1567.737,292.669,867.006,1080.622,887.592,299.738,1910.328,624.327,2070.504,270.177,584.56,1038.313,526.234,508.204,877.207,1461.494,1524.623,265.922,931.185,695.255,959.684,419.286,873.359,926.807,1008.585,592.203,1076.93,1050.56,586.156,1173.066,789.19,685.819,862.532,927.274,763.3,533.137,440.139,993.692,420.656,285.589,1152.957,1573.454,764.278,401.741,1141.956,100000.0,1313.368,1205.839
Dwarka,327.281,380.411,1491.432,1064.295,1763.468,2351.413,1995.334,1114.564,1667.761,1313.955,1741.323,1050.227,1148.127,1579.902,787.287,864.754,1297.236,938.703,1570.008,1469.718,434.952,1772.526,711.509,1131.934,1566.451,392.657,560.164,1217.531,1129.612,558.126,1682.376,655.377,609.171,711.313,696.17,930.641,2061.403,872.682,1684.528,1430.25,1085.412,1030.163,819.319,1373.349,774.526,1112.075,188.565,1313.368,100000.0,544.154
Mumbai,563.09,452.822,947.486,1054.728,1377.594,2101.563,1665.434,1128.121,1142.287,954.574,1234.427,944.408,1297.635,1114.284,766.023,934.885,1539.947,424.057,1027.176,1265.255,373.709,1454.547,282.741,874.56,1751.445,474.769,920.272,1363.749,619.424,155.387,1386.146,116.984,815.082,524.304,351.904,469.733,1861.378,673.581,1464.894,1688.578,1160.211,972.718,284.694,832.985,1006.517,1179.499,428.684,1205.839,544.154,100000.0
